NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PackMapMask,FUNC,,,,00207b08,002075e8,00249ea0,0025deb8,0024b9f0,00238178,0023c890,00272e68,00258b60,00271628,00253a90,00268f90,0023c918,0026f250,00262090,00255120,00251a30,002394a0,00245578,00244598,0024c188
memcard_MakeWholeSave,FUNC,,,,0020abb0,0020a568,0024ce68,00260e80,0024e9b8,0023b140,0023f858,00275e30,0025bb28,002745f0,00256a58,0026bf58,0023f8e0,00272218,00265058,002580e8,002549f8,0023c468,00248540,00247560,0024f150
memcard_RestoreData,FUNC,,,,0020af20,0020a8d8,0024d1d8,002611f0,0024ed28,0023b4b0,0023fbc8,002761a0,0025be98,00274960,00256dc8,0026c2c8,0023fc50,00272588,002653c8,00258458,00254d68,0023c7d8,002488b0,002478d0,0024f4c0
memcard_Save,FUNC,,,,0020b178,0020ab30,0024d430,00261448,0024ef80,0023b708,0023fe20,002763f8,0025c0f0,00274bb8,00257020,0026c520,0023fea8,002727e0,00265620,002586b0,00254fc0,0023ca30,00248b08,00247b28,0024f718
