NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ParseBin,FUNC,,,0012d8f8,,,,,,,,,,,,,,,,,,,,,
DrawBoltCount,FUNC,,,,,,002399d8,0024e568,0023bb90,002286a0,0022cf38,002622c8,00248e80,002617c0,00244140,00259638,0022cfc0,0025f900,00252740,00245440,002419b8,00229ac8,00234958,00234c40,0023c4b0
FastDecompress,FUNC,,,,,,0024d4e0,00261480,0024efb8,0023b740,0023fe50,00276490,0025c120,00274be8,00257058,0026c550,0023fed8,00272818,00265658,002586e0,00255078,0023ca68,00248b20,00247b58,0024f750
LoadFrontData,FUNC,,,,,,00243920,002578c0,002453f8,00231b80,00236290,0026c8d0,00252560,0026aef8,0024d498,00262990,00236318,00268c58,0025ba98,0024eb20,0024b4b8,00232ea8,0023ef60,0023df98,00245b90
PauseGame,FUNC,,,,,,00275b20,0028b868,00276fc0,00264718,00268dd0,0029fe10,00284880,0029e4c0,002801f8,002948c0,002689c0,0029ae30,0028e750,00281c20,0027e2b8,00265750,00270d80,0026fb50,00277a30
LoadDebugFont,FUNC,,,,,,001eaf80,0020cb00,001fbd80,001e4800,001dd800,00219b80,00202a80,00212c80,001fd900,0020a200,001de500,0021c700,0020d900,001f6880,001fe100,001e4580,001e9700,001e7f00,001f3b80
startlevel,FUNC,,,,,,00245810,002597b0,002472e8,00233a70,00238180,0026e7c0,00254450,0026cde8,0024f388,00264880,00238208,0026ab48,0025d988,00250a10,0024d3a8,00234d98,00240e50,0023fe88,00247a80
DrawHudElements,FUNC,,,,,,0023ab30,0024f6c0,0023d198,002297f8,0022e090,00263f68,0024a360,00262ca0,00245298,0025a790,0022e118,00260a58,00253898,00246920,00242b10,0022ac20,002365f8,00235d98,0023d990
