NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PackMapMask,FUNC,,,,,,00249a88,0025da28,0024b560,00237ce8,0023c3f8,00272a38,002586c8,00271190,00253600,00268af8,0023c480,0026edc0,00261c00,00254c88,00251620,00239010,002450c8,00244100,0024bcf8
memcard_MakeWholeSave,FUNC,,,,,,0024ca78,00260a18,0024e550,0023acd8,0023f3e8,00275a28,0025b6b8,00274180,002565f0,0026bae8,0023f470,00271db0,00264bf0,00257c78,00254610,0023c000,002480b8,002470f0,0024ece8
memcard_RestoreData,FUNC,,,,,,0024cde8,00260d88,0024e8c0,0023b048,0023f758,00275d98,0025ba28,002744f0,00256960,0026be58,0023f7e0,00272120,00264f60,00257fe8,00254980,0023c370,00248428,00247460,0024f058
memcard_Save,FUNC,,,,,,0024d040,00260fe0,0024eb18,0023b2a0,0023f9b0,00275ff0,0025bc80,00274748,00256bb8,0026c0b0,0023fa38,00272378,002651b8,00258240,00254bd8,0023c5c8,00248680,002476b8,0024f2b0
