NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HelpLog,OBJECT,,,00141e08,,,,,,,,,,,,,,,,,,,,,
Level,OBJECT,,,0015ed84,,,,,,,,,,,,,,,,,,,,,
HelpLogPos,OBJECT,,,0015ee30,,,,,,,,,,,,,,,,,,,,,
gameMode,OBJECT,,,0015f5a4,,,,,,,,,,,,,,,,,,,,,
HelpVoiceOn,OBJECT,,,0015ee1c,,,,,,,,,,,,,,,,,,,,,
HelpTextOn,OBJECT,,,0015ee1d,,,,,,,,,,,,,,,,,,,,,
HelpDataMessages,OBJECT,,,00141968,,,,,,,,,,,,,,,,,,,,,
HelpDataGadgets,OBJECT,,,00141848,,,,,,,,,,,,,,,,,,,,,
HelpDataMisc,OBJECT,,,00141720,,,,,,,,,,,,,,,,,,,,,
