NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
iReferSemaStatus,FUNC,0x48,10,,,,,,,,,,,,,,,,,,,,,,
RFU073,FUNC,0x49,10,,,,,,,,,,,,,,,,,,,,,,
SetOsdConfigParam,FUNC,0x4a,10,,,,,,,,,,,,,,,,,,,,,,
GetOsdConfigParam,FUNC,0x4b,10,,,,,,,,,,,,,,,,,,,,,,
GetGsHParam,FUNC,0x4c,10,,,,,,,,,,,,,,,,,,,,,,
GetGsVParam,FUNC,0x4d,10,,,,,,,,,,,,,,,,,,,,,,
SetGsHParam,FUNC,0x4e,10,,,,,,,,,,,,,,,,,,,,,,
SetGsVParam,FUNC,0x4f,10,,,,,,,,,,,,,,,,,,,,,,
RFU080_CreateEventFlag,FUNC,0x50,10,,,,,,,,,,,,,,,,,,,,,,
RFU081_DeleteEventFlag,FUNC,0x51,10,,,,,,,,,,,,,,,,,,,,,,
RFU082_SetEventFlag,FUNC,0x52,10,,,,,,,,,,,,,,,,,,,,,,
RFU083_iSetEventFlag,FUNC,0x53,10,,,,,,,,,,,,,,,,,,,,,,
RFU084_ClearEventFlag,FUNC,0x54,10,,,,,,,,,,,,,,,,,,,,,,
RFU085_iClearEventFlag,FUNC,0x55,10,,,,,,,,,,,,,,,,,,,,,,
RFU086_WaitEvnetFlag,FUNC,0x56,10,,,,,,,,,,,,,,,,,,,,,,
RFU087_PollEvnetFlag,FUNC,0x57,10,,,,,,,,,,,,,,,,,,,,,,
RFU088_iPollEvnetFlag,FUNC,0x58,10,,,,,,,,,,,,,,,,,,,,,,
RFU089_ReferEventFlagStatus,FUNC,0x59,10,,,,,,,,,,,,,,,,,,,,,,
RFU090_iReferEventFlagStatus,FUNC,0x5a,10,,,,,,,,,,,,,,,,,,,,,,
RFU091,FUNC,0x5b,10,,,,,,,,,,,,,,,,,,,,,,
EnableIntcHandler,FUNC,0x5c,10,,,,,,,,,,,,,,,,,,,,,,
iEnableIntcHandler,FUNC,0x5c,10,,,,,,,,,,,,,,,,,,,,,,
DisableIntcHandler,FUNC,0x5d,10,,,,,,,,,,,,,,,,,,,,,,
iDisableIntcHandler,FUNC,0x5d,10,,,,,,,,,,,,,,,,,,,,,,
EnableDmacHandler,FUNC,0x5e,10,,,,,,,,,,,,,,,,,,,,,,
iEnableDmacHandler,FUNC,0x5e,10,,,,,,,,,,,,,,,,,,,,,,
DisableDmacHandler,FUNC,0x5f,10,,,,,,,,,,,,,,,,,,,,,,
