NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
hero_SetType,FUNC,,,,,,00210550,00230e10,0021f800,00208c08,00203ab0,0023e378,002276b8,00238338,00222090,002301b0,00203b38,00240818,00231e48,0021bfb8,002223b8,00208648,0020df20,0020d428,002182c8
hero_SetState,FUNC,,,,,,00221fd8,0023cb00,0022b290,002161b0,00215538,0024cad0,00235200,00249dc0,002306a0,00241c38,002155c0,0024d6b8,0023fc38,0022da40,0022fb40,002167a0,0021df00,0021e090,00227938
hero_IsSwimming,FUNC,,,,,,0020d0b0,0022d970,0021c360,00205768,00200610,0023ae58,00224218,00234e98,0021ebf0,0022cd10,00200698,0023d378,0022e9a8,00218b18,0021ef18,002051a8,0020aa00,00209f88,00214e28
