NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,"{1,21}","{2,22}","{4,24}","{5,25}","{6,26}","{7,27}","{8,28}","{10,30}","{11,31}","{13,33}","{14,34}","{15,35}","[41,74]"
GetOsdConfigParam,FUNC,0x4b,10,126c50,,,,,,,,,,,,,,,,
GetGsHParam,FUNC,0x4c,10,126c60,,,,,,,,,,,,,,,,
GetGsVParam,FUNC,0x4d,10,126c70,,,,,,,,,,,,,,,,
SetGsHParam,FUNC,0x4e,10,126c80,,,,,,,,,,,,,,,,
SetGsVParam,FUNC,0x4f,10,126c90,,,,,,,,,,,,,,,,
RFU080_CreateEventFlag,FUNC,0x50,10,126ca0,,,,,,,,,,,,,,,,
RFU081_DeleteEventFlag,FUNC,0x51,10,126cb0,,,,,,,,,,,,,,,,
RFU082_SetEventFlag,FUNC,0x52,10,126cc0,,,,,,,,,,,,,,,,
RFU083_iSetEventFlag,FUNC,0x53,10,126cd0,,,,,,,,,,,,,,,,
RFU084_ClearEventFlag,FUNC,0x54,10,126ce0,,,,,,,,,,,,,,,,
RFU085_iClearEventFlag,FUNC,0x55,10,126cf0,,,,,,,,,,,,,,,,
RFU086_WaitEvnetFlag,FUNC,0x56,10,126d00,,,,,,,,,,,,,,,,
RFU087_PollEvnetFlag,FUNC,0x57,10,126d10,,,,,,,,,,,,,,,,
RFU088_iPollEvnetFlag,FUNC,0x58,10,126d20,,,,,,,,,,,,,,,,
RFU089_ReferEventFlagStatus,FUNC,0x59,10,126d30,,,,,,,,,,,,,,,,
RFU090_iReferEventFlagStatus,FUNC,0x5a,10,126d40,,,,,,,,,,,,,,,,
RFU091,FUNC,0x5b,10,126d50,,,,,,,,,,,,,,,,
EnableIntcHandler,FUNC,0x5c,10,126d60,,,,,,,,,,,,,,,,
iEnableIntcHandler,FUNC,0x5c,10,126d70,,,,,,,,,,,,,,,,
DisableIntcHandler,FUNC,0x5d,10,126d80,,,,,,,,,,,,,,,,
iDisableIntcHandler,FUNC,0x5d,10,126d90,,,,,,,,,,,,,,,,
EnableDmacHandler,FUNC,0x5e,10,126da0,,,,,,,,,,,,,,,,
iEnableDmacHandler,FUNC,0x5e,10,126db0,,,,,,,,,,,,,,,,
DisableDmacHandler,FUNC,0x5f,10,126dc0,,,,,,,,,,,,,,,,
iDisableDmacHandler,FUNC,0x5f,10,126dd0,,,,,,,,,,,,,,,,
KSeg0,FUNC,0x60,10,126de0,,,,,,,,,,,,,,,,
EnableCache,FUNC,0x61,10,126df0,,,,,,,,,,,,,,,,
DisableCache,FUNC,0x62,10,126e00,,,,,,,,,,,,,,,,
GetCop0,FUNC,0x63,10,126e10,,,,,,,,,,,,,,,,
FlushCache,FUNC,0x64,10,126e20,,,,,,,,,,,,,,,,
CpuConfig,FUNC,0x66,10,126e30,,,,,,,,,,,,,,,,
iGetCop0,FUNC,0x67,10,126e40,,,,,,,,,,,,,,,,
iFlushCache,FUNC,0x68,10,126e50,,,,,,,,,,,,,,,,
iCpuConfig,FUNC,0x6a,10,126e60,,,,,,,,,,,,,,,,
sceSifStopDma,FUNC,0x6b,10,126e70,,,,,,,,,,,,,,,,
SetCPUTimerHandler,FUNC,0x6c,10,126e80,,,,,,,,,,,,,,,,
SetCPUTimer,FUNC,0x6d,10,126e90,,,,,,,,,,,,,,,,
SetOsdConfigParam2,FUNC,0x6e,10,126ea0,,,,,,,,,,,,,,,,
GetOsdConfigParam2,FUNC,0x6f,10,126eb0,,,,,,,,,,,,,,,,
GsGetIMR,FUNC,0x70,10,126ec0,,,,,,,,,,,,,,,,
iGsGetIMR,FUNC,0x70,10,126ed0,,,,,,,,,,,,,,,,
GsPutIMR,FUNC,0x71,10,126ee0,,,,,,,,,,,,,,,,
iGsPutIMR,FUNC,0x71,10,126ef0,,,,,,,,,,,,,,,,
SetPgifHandler,FUNC,0x72,10,126f00,,,,,,,,,,,,,,,,
SetVSyncFlag,FUNC,0x73,10,126f10,,,,,,,,,,,,,,,,
RFU116,FUNC,0x74,10,126f20,,,,,,,,,,,,,,,,
_print,FUNC,0x75,10,126f30,,,,,,,,,,,,,,,,
sceSifDmaStat,FUNC,0x76,10,126f40,,,,,,,,,,,,,,,,
isceSifDmaStat,FUNC,0x76,10,126f50,,,,,,,,,,,,,,,,
sceSifSetDma,FUNC,0x77,10,126f60,,,,,,,,,,,,,,,,
isceSifSetDma,FUNC,0x77,10,126f70,,,,,,,,,,,,,,,,
sceSifSetDChain,FUNC,0x78,10,126f80,,,,,,,,,,,,,,,,
isceSifSetDChain,FUNC,0x78,10,126f90,,,,,,,,,,,,,,,,
sceSifSetReg,FUNC,0x79,10,126fa0,,,,,,,,,,,,,,,,
sceSifGetReg,FUNC,0x7a,10,126fb0,,,,,,,,,,,,,,,,
_ExecOSD,FUNC,0x7b,10,126fc0,,,,,,,,,,,,,,,,
Deci2Call,FUNC,0x7c,10,126fd0,,,,,,,,,,,,,,,,
PSMode,FUNC,0x7d,10,126fe0,,,,,,,,,,,,,,,,
MachineType,FUNC,0x7e,10,126ff0,,,,,,,,,,,,,,,,
GetMemorySize,FUNC,0x7f,10,127000,,,,,,,,,,,,,,,,
_InitTLB,FUNC,0x82,10,127010,,,,,,,,,,,,,,,,
