NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ParseBin,FUNC,,,0012d8f8,,,,,,,,,,,,,,,,,,,,,
FastDecompress,FUNC,,,,0020b618,0020afd0,0024d8d0,002618e8,0024f420,0023bba8,002402c0,00276898,0025c590,00275058,002574c0,0026c9c0,00240348,00272c80,00265ac0,00258b50,00255460,0023ced0,00248fa8,00247fc8,0024fbb8
LoadFrontData,FUNC,,,,002043b0,00203e90,00243d38,00257d50,00245888,00232010,00236728,0026cd00,002529f8,0026b390,0024d928,00262e28,002367b0,002690e8,0025bf28,0024efb8,0024b8c8,00233338,0023f410,0023e430,00246020
PauseGame,FUNC,,,,00218d78,00218730,00276190,0028bf50,002776a8,00264e00,002694c0,002a0498,00284f70,0029ebb0,002808e0,00294fb0,002690b0,0029b518,0028ee38,00282310,0027e920,00265e38,00271488,00270240,00278118
LoadDebugFont,FUNC,,,,001e9338,001e9338,001eb000,0020cc00,001fbe80,001e4900,001dd900,00219c00,00202b80,00212d80,001fda00,0020a300,001de600,0021c800,0020da00,001f6980,001fe180,001e4680,001e9800,001e8000,001f3c80
startlevel,FUNC,,,,,,00245c28,00259c40,00247778,00233f00,00238618,0026ebf0,002548e8,0026d280,0024f818,00264d18,002386a0,0026afd8,0025de18,00250ea8,0024d7b8,00235228,00241300,00240320,00247f10
