NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
UpdateSound_0,FUNC,,,,,,2ed2f8,3190d0,2fbc48,2ecfa8,,32acb0,,,316250,315088,2f65f8,3282f8,315e28,317b00,3161b8,,,,306328
UpdateSound_1,FUNC,,,,,,,319258,,,,32ae38,,,3163d8,315210,,328480,315fb0,317c88,316340,,2f51b0,,
UpdateSound_2,FUNC,,,,,,2ed480,3195f8,2fbdd0,,,32b1d8,,,,,,,,,,,,,3064b0
UpdateSound_3,FUNC,,,,,,,319848,2fc020,2ed130,,32b428,,329068,316778,3155b0,2f6780,,316350,,3166e0,2f8b60,2f5550,,306700
UpdateSound_4,FUNC,,,,,,,,,,,,,,3168d8,,,,,,316840,,,,
UpdateSound_5,FUNC,,,,,,,3199a8,,,,32b588,,,,,,328820,3164b0,,,2f8cc0,,300798,306860
UpdateSound_6,FUNC,,,,,,,319a58,2fc180,2ed290,2f12b0,32b638,,3291c8,316b60,,,,316560,,316ac8,,2f56b0,,306910
